Skills,Count
relational programming,1
relational theory,1
rendering,1
require.js,1
requirements,1
responsive design,1
resque,1
rest,4
reverse engineering,1
reversing,1
rhino,2
rhino3d,1
ring,21
risk management,3
road trips,1
robot,7
robot kittens,1
robotc,1
robotics,2
robots,3
rock climbing,2
ror,1
ros,8
rspec,4
ruby,93
ruby on rails,51
running,5
russian,2
rust,6
sailing,1
san francisco,1
sas,16
sass,14
scala,34
scalability,2
scalding,1
scaling,1
scheme,27
sci-kit,1
sci-kit learn,1
science,16
scientific,2
scientific libraries,0
scientific programming,1
scipy,7
scraping,3
scripting,2
scripting languages,1
scss,4
search,3
security,12
sed,3
sega,1
semantics,1
semantics of programming languages,1
servers,1
shell,3
shell script,2
shell scripts,1
sicp,1
signal processing,4
signalr,1
silverlight,1
simulation,2
sinatra,14
sinatra framework,1
skating,1
sketch,2
sketchup,1
sklearn,1
smalltalk,3
sml,2
soccer,1
socket.io,3
sockets,7
software testing,1
software transactional memory,1
software verification,1
solaris,1
soldering,3
solidworks,1
sound,4
sound synthesis,2
spanish,1
spring,2
sql,44
sql databases,1
sql server,2
sqlalchemy,3
sqlite,5
ssl,1
stand-up comedy,1
standard ml,2
starcrafts,1
startups,1
stata,5
static analysis,1
static types,2
statistical natural language processing,1
statistical physics,1
statistics,26
stochastic methods,1
string algorithms,1
struts2,1
stylus,1
sublime,2
subversion,2
supercomputing,1
svg,2
svn,5
swift,8
sybase adapative server enterprise,1
symfony2,1
sysadmin,2
system administration,4
systems,29
systems administration,1
systems architecture,2
systen,0
t-sql,2
tcl,1
tcp,3
tcp/ip,1
tdd,6
teaching,7
teaching css,1
technical writing,2
test driven development.,1
test-driven development,3
testing,9
text processing,1
thinking,2
threading,3
threads,1
threat modeling,1
three.js,1
tmux,2
tornado server,1
tracing,1
trading,4
transcad,1
transportation,1
trees,1
twelf,1
twemproxy,1
twisted,4
type,11
type checking,1
type inference,1
type theory,3
types,6
typescript,2
typing,2
ubuntu,2
udp,1
ui,28
ui design,1
ultimate,2
ultimate frisbee,1
underscore.js,1
unicode,1
unikernels,1
unity,2
unity 3d,1
unix,13
unix core,1
unix system administration,1
user experience,1
user testing,1
ux,7
ux design,1
ux on balsamiq,1
vagrant,2
vba,5
vcs,1
verilog,1
video games,1
vim,23
vinyasa yoga,1
virtual machines,2
vision,7
visual basic,1
visualization,10
voip,2
walking,1
wandering,1
wearable electronics,1
web,41
web apis,1
web applications,1
web design,2
web development,11
web frameworks,1
web programming,2
web project management,1
web scraping,0
web spidering,1
webapp2,1
webdev,4
webgl,1
webrtc,1
websites,1
websocket,5
websockets,4
weka user,1
whistling,1
wikipedia api,1
window manager,1
windows,3
wireframing,1
wordpress,7
writing,6
x,1
x86,3
x86-32b assembly,1
xbox,1
xcode,2
xll,1
xmpp,1
yaks,1
yii,1
yoga,2
yogurt,1
